epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.573,1.05369,1.24535,1.18575,0.93897,0.86886,0.92693,0.68373,0.89679,1.07074,1.07034,7e-05,7e-05,7e-05
2,287.159,1.02911,1.13759,1.10724,0.8893,0.88611,0.93287,0.68128,0.938,1.14189,1.0601,0.00014703,0.00014703,0.00014703
3,415.81,1.06964,1.22578,1.17769,0.93081,0.90393,0.94427,0.70307,0.89849,1.05685,1.03345,0.000220892,0.000220892,0.000220892
4,549.2,1.03163,1.12109,1.11357,0.9596,0.86006,0.93878,0.66353,1.01476,1.08191,1.09675,0.000291586,0.000291586,0.000291586
5,680.68,1.00536,1.11017,1.09125,0.93042,0.8624,0.94041,0.70313,0.91568,1.07021,1.06037,0.000359112,0.000359112,0.000359112
6,809.664,0.98093,1.12347,1.1127,0.8949,0.86135,0.92988,0.66741,0.99254,1.11542,1.09691,0.00042347,0.00042347,0.00042347
7,938.701,0.98011,1.12675,1.09409,0.88985,0.86235,0.93874,0.69807,0.91259,1.1447,1.05404,0.00048466,0.00048466,0.00048466
8,1028.63,1.00472,1.12811,1.13993,0.95401,0.897,0.94976,0.7151,0.88968,1.00132,1.03439,0.000542682,0.000542682,0.000542682
9,1101.89,0.97676,1.07139,1.09095,0.94436,0.89297,0.9483,0.72446,0.89896,0.99284,1.03656,0.000597536,0.000597536,0.000597536
10,1191.81,0.98979,1.06793,1.08094,0.92406,0.90231,0.94714,0.70613,0.92498,1.00588,1.04953,0.000649222,0.000649222,0.000649222
11,1260.4,1.01274,1.117,1.13359,0.91387,0.86194,0.92696,0.69743,0.92573,1.10012,1.04491,0.00069774,0.00069774,0.00069774
12,1331.86,0.99696,1.0621,1.0912,0.92199,0.87795,0.93228,0.7015,0.92853,1.05089,1.05488,0.00074309,0.00074309,0.00074309
13,1423.15,0.99095,1.08159,1.12319,0.92855,0.88608,0.94159,0.71286,0.91278,1.0627,1.05082,0.0007624,0.0007624,0.0007624
14,1500.95,1.00778,1.04922,1.11404,0.91153,0.8968,0.93872,0.71479,0.89877,1.02595,1.03951,0.0007426,0.0007426,0.0007426
15,1579.22,0.99895,1.01401,1.11412,0.92598,0.87108,0.94579,0.71516,0.90558,1.01624,1.03923,0.0007228,0.0007228,0.0007228
16,1658.3,1.00924,1.03507,1.09161,0.87529,0.86284,0.91892,0.69344,0.91672,1.08871,1.04596,0.000703,0.000703,0.000703
17,1741.33,0.97143,0.98773,1.08152,0.89395,0.85529,0.92358,0.69667,0.92994,1.09486,1.06038,0.0006832,0.0006832,0.0006832
18,1818.4,0.97865,1.04452,1.11727,0.93944,0.85041,0.94573,0.71627,0.92333,1.03648,1.05216,0.0006634,0.0006634,0.0006634
19,1916.16,1.02261,0.96936,1.07371,0.9584,0.88828,0.95734,0.71641,0.92801,1.00034,1.04727,0.0006436,0.0006436,0.0006436
20,2000.59,0.97272,0.97568,1.0704,0.95223,0.89456,0.95794,0.70149,0.97537,0.96363,1.06646,0.0006238,0.0006238,0.0006238
21,2083.24,0.93989,0.90647,1.05366,0.93266,0.93759,0.96262,0.74677,0.85833,0.89021,1.01955,0.000604,0.000604,0.000604
22,2162.75,0.94126,0.90929,1.07823,0.94914,0.90638,0.95443,0.72567,0.88008,0.92987,1.02134,0.0005842,0.0005842,0.0005842
23,2246.11,0.92302,0.96029,1.06138,0.95303,0.90822,0.95886,0.73161,0.87483,0.93665,1.00672,0.0005644,0.0005644,0.0005644
24,2331.67,0.90787,0.90918,1.0553,0.92877,0.91371,0.96326,0.7569,0.80509,0.9236,0.9786,0.0005446,0.0005446,0.0005446
25,2413.43,0.91039,0.91353,1.05181,0.95529,0.9253,0.9687,0.7416,0.86344,0.8488,0.99957,0.0005248,0.0005248,0.0005248
26,2495.88,0.92715,0.87133,1.0488,0.94812,0.93957,0.96638,0.74674,0.85241,0.82218,1.00108,0.000505,0.000505,0.000505
27,2584.87,0.92522,0.86158,1.04375,0.9716,0.93605,0.97035,0.76435,0.79652,0.8137,0.98478,0.0004852,0.0004852,0.0004852
28,2664.58,0.88971,0.87289,1.03516,0.97877,0.93705,0.97236,0.78051,0.74932,0.78933,0.96304,0.0004654,0.0004654,0.0004654
29,2758.1,0.8592,0.82158,1.02088,0.97111,0.93981,0.9734,0.77312,0.77406,0.77201,0.96779,0.0004456,0.0004456,0.0004456
30,2838.01,0.89636,0.88289,1.05949,0.96426,0.94602,0.97484,0.78325,0.73866,0.76191,0.94836,0.0004258,0.0004258,0.0004258
31,2925.88,0.86154,0.78557,1.00242,0.97805,0.94749,0.97696,0.78764,0.72841,0.73257,0.94306,0.000406,0.000406,0.000406
32,3027.91,0.83369,0.79324,1.00954,0.9726,0.95608,0.97834,0.79437,0.71307,0.71943,0.93602,0.0003862,0.0003862,0.0003862
33,3123.06,0.83125,0.77248,1.00093,0.97933,0.94847,0.97842,0.80027,0.69603,0.7198,0.92756,0.0003664,0.0003664,0.0003664
34,3197.93,0.84809,0.82103,1.02831,0.9729,0.96125,0.97757,0.80101,0.70781,0.72154,0.93077,0.0003466,0.0003466,0.0003466
35,3272.33,0.85684,0.80023,1.0342,0.97198,0.96681,0.97524,0.793,0.71286,0.70401,0.93468,0.0003268,0.0003268,0.0003268
36,3346.86,0.80186,0.77358,0.98188,0.97752,0.97129,0.9776,0.79627,0.69201,0.68916,0.92749,0.000307,0.000307,0.000307
