epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6979,1.86018,4.33945,1.68288,0.00169,0.15519,0.00745,0.00347,1.73834,4.44166,1.67464,5e-05,5e-05,5e-05
2,121.204,1.71554,4.15956,1.6191,0.00308,0.28159,0.01775,0.00844,1.47776,4.30195,1.44334,0.000107822,0.000107822,0.000107822
3,178.533,1.48442,3.71552,1.41902,0.00539,0.35592,0.07112,0.03653,1.37167,4.11746,1.2633,0.000163268,0.000163268,0.000163268
4,232.764,1.44867,3.26385,1.34754,0.00857,0.38561,0.09498,0.05934,1.30103,3.95305,1.19788,0.000216338,0.000216338,0.000216338
5,285.677,1.44062,2.9215,1.3197,0.01198,0.52337,0.24104,0.16043,1.31296,3.72182,1.19765,0.000267032,0.000267032,0.000267032
6,338.153,1.40047,2.47652,1.24806,0.0109,0.62353,0.29895,0.18864,1.28787,3.56994,1.18802,0.00031535,0.00031535,0.00031535
7,407.302,1.41905,2.24805,1.27218,0.8849,0.1092,0.33919,0.21357,1.27355,3.42798,1.18704,0.000361292,0.000361292,0.000361292
8,479.642,1.37692,2.09336,1.25022,0.8991,0.09549,0.39113,0.24762,1.24958,3.21284,1.16832,0.000404858,0.000404858,0.000404858
9,533.5,1.33955,1.88628,1.20269,0.94847,0.2422,0.52018,0.32603,1.27182,2.95309,1.18638,0.000446048,0.000446048,0.000446048
10,589.129,1.38141,1.93604,1.23213,0.89302,0.34948,0.57188,0.36444,1.27637,2.83201,1.18275,0.000484862,0.000484862,0.000484862
11,643.614,1.35278,1.74066,1.20098,0.88605,0.34033,0.62113,0.4018,1.22396,2.71971,1.14222,0.0005213,0.0005213,0.0005213
12,697.054,1.30351,1.72951,1.19082,0.90236,0.36042,0.64264,0.42339,1.21787,2.67305,1.14616,0.000555362,0.000555362,0.000555362
13,752.465,1.32288,1.63366,1.19568,0.87507,0.44352,0.67993,0.45758,1.18843,2.56591,1.14112,0.000587048,0.000587048,0.000587048
14,806.566,1.2582,1.54189,1.13093,0.8227,0.51275,0.74968,0.47353,1.25331,2.32621,1.15359,0.000616358,0.000616358,0.000616358
15,860.925,1.27589,1.47461,1.17938,0.81317,0.52543,0.76858,0.49442,1.22382,2.22855,1.14356,0.000643292,0.000643292,0.000643292
